what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1428373388634
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1428373388650
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1428373388650
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1428373388650
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1428373388650
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1428373388650
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1428373388650
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1428373388650
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1428373388650
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1428373388650
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1428373388665
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1428373388665
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1428373388681
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1428373388681
started,bundle,com.altera.sbtgui.core,12.1.1.243,"com.altera.sbtgui.core",1428373388681
started,bundle,com.altera.sbtgui.integration,12.1.1.243,"com.altera.sbtgui.integration",1428373388681
started,bundle,com.altera.sbtgui.project,12.1.1.243,"com.altera.sbtgui.project",1428373388681
started,bundle,com.altera.systemconsole,12.1.1.243,"com.altera.systemconsole",1428373388681
started,bundle,com.altera.systemconsole.designs.plugin,12.1.1.243,"com.altera.systemconsole.designs.plugin",1428373388681
started,bundle,com.altera.utilities,12.1.1.243,"com.altera.utilities",1428373388681
os,sysinfo,,,"win32",1428373388681
arch,sysinfo,,,"x86",1428373388681
ws,sysinfo,,,"win32",1428373388681
locale,sysinfo,,,"en_CA",1428373388681
processors,sysinfo,,,"8",1428373388681
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1428373388681
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1428373388681
java.specification.name,sysinfo,,,"Java Platform API Specification",1428373388681
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1428373388681
java.specification.version,sysinfo,,,"1.6",1428373388681
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1428373388681
java.version,sysinfo,,,"1.6.0_23",1428373388681
java.vm.info,sysinfo,,,"mixed mode",1428373388681
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1428373388681
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1428373388681
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1428373388681
java.vm.specification.version,sysinfo,,,"1.0",1428373388681
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1428373388681
java.vm.version,sysinfo,,,"19.0-b09",1428373388681
started,bundle,com.altera.systemconsole.scripting,12.1.1.243,"com.altera.systemconsole.scripting",1428373388853
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1428373389742
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428373391677
started,bundle,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch",1428373391802
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428373395894
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1428373395941
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ResourceNavigator",1428373396724
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1428373398752
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428373398783
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1428373399329
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1428373399439
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1428373399439
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1428373399439
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1428373401295
